# index, male, _pos
195,1,"array([ 8.61226148, -3.77064677])"
196,0,"array([10.11707216, -6.65949858])"
197,0,"array([ 2.36194878, -4.27357065])"
198,0,"array([ 0.43997554, -3.77832468])"
199,1,"array([ 37.882024  , -16.83517674])"
200,0,"array([ 34.71025367, -13.32361263])"
201,0,"array([ 4.96462595, -3.16200055])"
202,1,"array([ 38.44752482, -16.19668109])"
203,0,"array([12.52886833,  0.92047655])"
204,0,"array([26.58564157,  1.15327247])"
205,1,"array([  2.48260649, -13.00840437])"
206,0,"array([ -0.43517295, -16.58831604])"
207,1,"array([17.83447731,  0.62678971])"
208,1,"array([ 9.58812353, -9.71843851])"
209,0,"array([ 9.91754006, -5.63825308])"
210,1,"array([ 2.16172802, -3.59254013])"
211,0,"array([ 8.91480289, -2.18411227])"
212,0,"array([10.87237269, -5.19240664])"
213,0,"array([10.42243321, -4.68672208])"
214,0,"array([10.95301601, -8.69196195])"
215,1,"array([ 44.36574063, -16.0356732 ])"
216,0,"array([ 40.46318655, -13.8565839 ])"
217,0,"array([11.33932395,  1.26652324])"
218,0,"array([0.61742731, 8.02756121])"
219,1,"array([-1.21188922,  1.99575131])"
220,0,"array([ 5.50501559, -0.93795656])"
221,1,"array([0.23381592, 2.91924259])"
222,0,"array([5.3045573 , 0.47906084])"
223,1,"array([11.07258077, 10.98826649])"
224,0,"array([11.83310517, 14.87365376])"
225,0,"array([ 5.64216275, -3.23900938])"
226,1,"array([ 94.33359227, -78.69552801])"
227,0,"array([ 95.24212064, -78.55012592])"
228,0,"array([4.35345209, 0.06188549])"
229,0,"array([ 16.49187035, -11.54204185])"
230,0,"array([9.88491765, 3.27014918])"
231,0,"array([11.54796434, 13.11361541])"
232,0,"array([17.73385651, -1.75555865])"
233,1,"array([ 9.81068389, -3.42548895])"
234,1,"array([4.36171558, 2.0918301 ])"
235,0,"array([-0.36699944,  5.06612461])"
236,0,"array([11.23256838,  1.02122452])"
237,1,"array([6.99409574, 7.3044587 ])"
238,0,"array([4.27679592, 5.07867752])"
239,0,"array([10.11717298,  3.95588194])"
240,0,"array([10.80283426, -8.24594556])"
241,0,"array([-0.11038218, -1.99921984])"
242,0,"array([ 10.74493106, -13.52212574])"
243,0,"array([ 4.14676007, -0.46271219])"
244,1,"array([13.95088901, -0.38413603])"
245,1,"array([11.08894829,  0.1160498 ])"
246,0,"array([ -0.81529147, -16.25693903])"
247,1,"array([ 9.10755333, -6.09913699])"
248,0,"array([  5.0049917 , -11.01970092])"
249,0,"array([ 16.05121873, -11.22487466])"
250,0,"array([11.79030865, -4.77672309])"
251,0,"array([ 7.21430087, -0.70191547])"
252,0,"array([ 8.50521666, -1.28774882])"
253,1,"array([-97.67043151,  38.11954404])"
254,0,"array([-96.77366601,  38.21728875])"
255,0,"array([18.55565046, -2.46522833])"
256,1,"array([ 18.01400841, -10.90335655])"
257,0,"array([11.91979571, -5.55283381])"
258,1,"array([128.14732005,  15.67272859])"
259,0,"array([129.02087856,  15.50024442])"
260,0,"array([6.19845893, 0.33560782])"
261,0,"array([ 22.26403825, -14.09564997])"
262,1,"array([ 33.75442788, -17.79680375])"
263,0,"array([ 36.43248613, -21.60973938])"
264,0,"array([ 8.59464529, -1.46906802])"
265,1,"array([ 8.99462472, -4.07574479])"
266,0,"array([ 2.75612314, -4.36133871])"
267,0,"array([ 4.61984134, -1.15116126])"
268,0,"array([ 29.05597796, -17.56624484])"
269,0,"array([ 18.90180726, -10.38175274])"
270,0,"array([15.59074148, -2.013972  ])"
271,0,"array([ 9.95524555, -1.00056402])"
272,0,"array([ 16.67965222, -11.32822279])"
273,1,"array([ 28.71811012, -19.58408267])"
274,0,"array([ 4.63107769, -1.37876489])"
275,1,"array([14.94227488, -3.56841407])"
276,0,"array([ 6.97113568, -2.60609936])"
277,0,"array([17.65290418, -5.80780649])"
278,0,"array([ 6.6254711 , -5.48447682])"
279,0,"array([12.76924989, -4.98967991])"
280,1,"array([ -17.44672202, -111.72696557])"
281,0,"array([ -18.33640042, -111.81274609])"
282,0,"array([9.83322139, 3.88552128])"
283,1,"array([  7.25076206, -11.05995362])"
284,0,"array([11.64450635, -5.54522142])"
285,1,"array([-0.02063265,  1.10411618])"
286,0,"array([1.65958801, 0.89673277])"
287,0,"array([13.66122777,  3.17712899])"
288,0,"array([11.86855897, -2.93695394])"
289,1,"array([-67.01626095, -84.44131982])"
290,0,"array([-67.6515958 , -83.73133476])"
291,0,"array([-66.36679423, -85.14225834])"
292,1,"array([ 38.74929993, -16.41779913])"
293,1,"array([ 9.20139594, 10.42468012])"
294,0,"array([ 6.43191765, -6.36069863])"
295,1,"array([-10.09377031,   7.887405  ])"
296,0,"array([18.76770819, -8.23178894])"
297,1,"array([13.0134852 , -9.62781417])"
298,0,"array([ 9.24937086, -7.65143145])"
299,0,"array([10.22829059, -2.08711247])"
