strategy,strategy_name,vertex_index,metric,start,vaccine_fraction,max_steps,saved_at_utc
1,DEGREE,7984,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8109,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8152,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11059,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12012,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12552,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12665,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,467,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1144,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1419,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1579,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1921,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2248,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3142,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3323,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4048,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4617,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5090,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8007,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11317,48.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,154,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,257,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,781,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1355,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2430,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11338,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11942,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12559,47.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,358,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1179,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2531,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4282,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4470,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6211,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7035,46.0,1000,0.1,-1,2025-10-25T10:12:30
